Address,unit,street_no,str_name,str_type,str_dir,city
"1105, 2445 KINGSLAND RD SE, AIRDRIE",1105,2445,KINGSLAND,RD,SE,AIRDRIE
"1106, 2445 KINGSLAND RD SE, AIRDRIE",1106,2445,KINGSLAND,RD,SE,AIRDRIE
"1201, 2445 KINGSLAND RD SE, AIRDRIE",1201,2445,KINGSLAND,RD,SE,AIRDRIE
"806, 2445 KINGSLAND RD SE, AIRDRIE",806,2445,KINGSLAND,RD,SE,AIRDRIE
"1202, 2445 KINGSLAND RD SE, AIRDRIE",1202,2445,KINGSLAND,RD,SE,AIRDRIE
"1203, 2445 KINGSLAND RD SE, AIRDRIE",1203,2445,KINGSLAND,RD,SE,AIRDRIE
"805, 2445 KINGSLAND RD SE, AIRDRIE",805,2445,KINGSLAND,RD,SE,AIRDRIE
"1204, 2445 KINGSLAND RD SE, AIRDRIE",1204,2445,KINGSLAND,RD,SE,AIRDRIE
"804, 2445 KINGSLAND RD SE, AIRDRIE",804,2445,KINGSLAND,RD,SE,AIRDRIE
"803, 2445 KINGSLAND RD SE, AIRDRIE",803,2445,KINGSLAND,RD,SE,AIRDRIE
"1205, 2445 KINGSLAND RD SE, AIRDRIE",1205,2445,KINGSLAND,RD,SE,AIRDRIE
"1, 12 SILVER CREEK BV NW, AIRDRIE",1,12,SILVER CREEK,BV,NW,AIRDRIE
"802, 2445 KINGSLAND RD SE, AIRDRIE",802,2445,KINGSLAND,RD,SE,AIRDRIE
"1206, 2445 KINGSLAND RD SE, AIRDRIE",1206,2445,KINGSLAND,RD,SE,AIRDRIE
"2, 12 SILVER CREEK BV NW, AIRDRIE",2,12,SILVER CREEK,BV,NW,AIRDRIE
"22, 505 EDMONTON TR NE, AIRDRIE",22,505,EDMONTON,TR,NE,AIRDRIE
"2, 33 STONEGATE DR NW, AIRDRIE",2,33,STONEGATE,DR,NW,AIRDRIE
"801, 2445 KINGSLAND RD SE, AIRDRIE",801,2445,KINGSLAND,RD,SE,AIRDRIE
"1207, 2445 KINGSLAND RD SE, AIRDRIE",1207,2445,KINGSLAND,RD,SE,AIRDRIE
"3, 12 SILVER CREEK BV NW, AIRDRIE",3,12,SILVER CREEK,BV,NW,AIRDRIE
"23, 505 EDMONTON TR NE, AIRDRIE",23,505,EDMONTON,TR,NE,AIRDRIE
"3, 33 STONEGATE DR NW, AIRDRIE",3,33,STONEGATE,DR,NW,AIRDRIE
"1208, 2445 KINGSLAND RD SE, AIRDRIE",1208,2445,KINGSLAND,RD,SE,AIRDRIE
"309, 2445 KINGSLAND RD SE, AIRDRIE",309,2445,KINGSLAND,RD,SE,AIRDRIE
"24, 505 EDMONTON TR NE, AIRDRIE",24,505,EDMONTON,TR,NE,AIRDRIE
"4, 33 STONEGATE DR NW, AIRDRIE",4,33,STONEGATE,DR,NW,AIRDRIE
"308, 2445 KINGSLAND RD SE, AIRDRIE",308,2445,KINGSLAND,RD,SE,AIRDRIE
"25, 505 EDMONTON TR NE, AIRDRIE",25,505,EDMONTON,TR,NE,AIRDRIE
